Variable xr: a, t, e 
131,10,11,20 
127,1,12,20 
127,2,12,20 
127,3,12,20 
127,4,12,20 
127,5,12,20 
127,6,12,20 
127,7,12,20 
127,8,12,20 
127,9,12,20 
127,10,12,20 
127,1,13,20 
127,2,13,20 
127,3,13,20 
127,4,13,20 
127,5,13,20 
127,6,13,20 
127,7,13,20 
127,8,13,20 
127,9,13,20 
127,10,13,20 
129,1,14,20 
129,2,14,20 
129,3,14,20 
129,4,14,20 
129,5,14,20 
129,6,14,20 
129,7,14,20 
129,8,14,20 
129,9,14,20 
129,10,14,20 
128,1,15,20 
128,2,15,20 
128,3,15,20 
128,4,15,20 
128,5,15,20 
128,6,15,20 
128,7,15,20 
128,8,15,20 
128,9,15,20 
128,10,15,20 
132,1,16,20 
132,2,16,20 
132,3,16,20 
132,4,16,20 
132,5,16,20 
132,6,16,20 
132,7,16,20 
132,8,16,20 
132,9,16,20 
132,10,16,20 
127,1,17,20 
127,2,17,20 
127,3,17,20 
127,4,17,20 
127,5,17,20 
127,6,17,20 
127,7,17,20 
127,8,17,20 
127,9,17,20 
127,10,17,20 
135,1,18,20 
135,2,18,20 
135,3,18,20 
135,4,18,20 
135,5,18,20 
135,6,18,20 
135,7,18,20 
135,8,18,20 
135,9,18,20 
135,10,18,20 
128,1,19,20 
128,2,19,20 
128,3,19,20 
128,4,19,20 
128,5,19,20 
128,6,19,20 
128,7,19,20 
128,8,19,20 
128,9,19,20 
128,10,19,20 
128,1,20,20 
128,2,20,20 
128,3,20,20 
128,4,20,20 
128,5,20,20 
128,6,20,20 
128,7,20,20 
128,8,20,20 
128,9,20,20 
128,10,20,20 
138,1,1,21 
138,2,1,21 
138,3,1,21 
138,4,1,21 
138,5,1,21 
138,6,1,21 
138,7,1,21 
138,8,1,21 
138,9,1,21 
138,10,1,21 
0,1,2,21 
0,2,2,21 
0,3,2,21 
0,4,2,21 
0,5,2,21 
0,6,2,21 
0,7,2,21 
0,8,2,21 
0,9,2,21 
0,10,2,21 
133,1,3,21 
133,2,3,21 
133,3,3,21 
133,4,3,21 
133,5,3,21 
133,6,3,21 
133,7,3,21 
133,8,3,21 
133,9,3,21 
133,10,3,21 
133,1,4,21 
133,2,4,21 
133,3,4,21 
133,4,4,21 
133,5,4,21 
133,6,4,21 
133,7,4,21 
133,8,4,21 
133,9,4,21 
133,10,4,21 
134,1,5,21 
134,2,5,21 
134,3,5,21 
134,4,5,21 
134,5,5,21 
134,6,5,21 
134,7,5,21 
134,8,5,21 
134,9,5,21 
134,10,5,21 
133,1,6,21 
133,2,6,21 
133,3,6,21 
133,4,6,21 
133,5,6,21 
133,6,6,21 
133,7,6,21 
133,8,6,21 
133,9,6,21 
133,10,6,21 
136,1,7,21 
136,2,7,21 
136,3,7,21 
136,4,7,21 
136,5,7,21 
136,6,7,21 
136,7,7,21 
136,8,7,21 
136,9,7,21 
136,10,7,21 
133,1,8,21 
133,2,8,21 
133,3,8,21 
133,4,8,21 
133,5,8,21 
133,6,8,21 
133,7,8,21 
133,8,8,21 
133,9,8,21 
133,10,8,21 
133,1,9,21 
133,2,9,21 
133,3,9,21 
133,4,9,21 
133,5,9,21 
133,6,9,21 
133,7,9,21 
133,8,9,21 
133,9,9,21 
133,10,9,21 
129,1,10,21 
129,2,10,21 
129,3,10,21 
129,4,10,21 
129,5,10,21 
129,6,10,21 
129,7,10,21 
129,8,10,21 
129,9,10,21 
129,10,10,21 
132,1,11,21 
132,2,11,21 
132,3,11,21 
132,4,11,21 
132,5,11,21 
132,6,11,21 
132,7,11,21 
132,8,11,21 
132,9,11,21 
132,10,11,21 
133,1,12,21 
133,2,12,21 
133,3,12,21 
133,4,12,21 
133,5,12,21 
133,6,12,21 
133,7,12,21 
133,8,12,21 
133,9,12,21 
133,10,12,21 
134,1,13,21 
134,2,13,21 
134,3,13,21 
134,4,13,21 
134,5,13,21 
134,6,13,21 
134,7,13,21 
134,8,13,21 
134,9,13,21 
134,10,13,21 
132,1,14,21 
132,2,14,21 
132,3,14,21 
132,4,14,21 
132,5,14,21 
132,6,14,21 
132,7,14,21 
132,8,14,21 
132,9,14,21 
132,10,14,21 
132,1,15,21 
132,2,15,21 
132,3,15,21 
132,4,15,21 
132,5,15,21 
132,6,15,21 
132,7,15,21 
132,8,15,21 
132,9,15,21 
132,10,15,21 
130,1,16,21 
130,2,16,21 
130,3,16,21 
130,4,16,21 
130,5,16,21 
130,6,16,21 
130,7,16,21 
130,8,16,21 
130,9,16,21 
130,10,16,21 
131,1,17,21 
131,2,17,21 
131,3,17,21 
131,4,17,21 
131,5,17,21 
131,6,17,21 
131,7,17,21 
131,8,17,21 
131,9,17,21 
131,10,17,21 
139,1,18,21 
139,2,18,21 
139,3,18,21 
139,4,18,21 
139,5,18,21 
139,6,18,21 
139,7,18,21 
139,8,18,21 
139,9,18,21 
139,10,18,21 
132,1,19,21 
132,2,19,21 
132,3,19,21 
132,4,19,21 
132,5,19,21 
132,6,19,21 
132,7,19,21 
132,8,19,21 
132,9,19,21 
132,10,19,21 
134,1,20,21 
134,2,20,21 
134,3,20,21 
134,4,20,21 
134,5,20,21 
134,6,20,21 
134,7,20,21 
134,8,20,21 
134,9,20,21 
134,10,20,21 
130,1,1,22 
130,2,1,22 
130,3,1,22 
130,4,1,22 
130,5,1,22 
130,6,1,22 
130,7,1,22 
130,8,1,22 
130,9,1,22 
130,10,1,22 
0,1,2,22 
0,2,2,22 
0,3,2,22 
0,4,2,22 
0,5,2,22 
0,6,2,22 
0,7,2,22 
0,8,2,22 
0,9,2,22 
0,10,2,22 
133,1,3,22 
133,2,3,22 
133,3,3,22 
133,4,3,22 
133,5,3,22 
133,6,3,22 
133,7,3,22 
133,8,3,22 
133,9,3,22 
133,10,3,22 
130,1,4,22 
130,2,4,22 
130,3,4,22 
130,4,4,22 
130,5,4,22 
130,6,4,22 
130,7,4,22 
130,8,4,22 
130,9,4,22 
130,10,4,22 
133,1,5,22 
133,2,5,22 
133,3,5,22 
133,4,5,22 
133,5,5,22 
133,6,5,22 
133,7,5,22 
133,8,5,22 
133,9,5,22 
133,10,5,22 
136,1,6,22 
136,2,6,22 
136,3,6,22 
136,4,6,22 
136,5,6,22 
136,6,6,22 
136,7,6,22 
136,8,6,22 
136,9,6,22 
136,10,6,22 
132,1,7,22 
132,2,7,22 
132,3,7,22 
132,4,7,22 
132,5,7,22 
132,6,7,22 
132,7,7,22 
132,8,7,22 
132,9,7,22 
132,10,7,22 
139,1,8,22 
139,2,8,22 
139,3,8,22 
139,4,8,22 
139,5,8,22 
139,6,8,22 
139,7,8,22 
139,8,8,22 
139,9,8,22 
139,10,8,22 
134,1,9,22 
134,2,9,22 
134,3,9,22 
134,4,9,22 
134,5,9,22 
134,6,9,22 
134,7,9,22 
134,8,9,22 
134,9,9,22 
134,10,9,22 
131,1,10,22 
131,2,10,22 
131,3,10,22 
131,4,10,22 
131,5,10,22 
131,6,10,22 
131,7,10,22 
131,8,10,22 
131,9,10,22 
131,10,10,22 
133,1,11,22 
133,2,11,22 
133,3,11,22 
133,4,11,22 
133,5,11,22 
133,6,11,22 
133,7,11,22 
133,8,11,22 
133,9,11,22 
133,10,11,22 
136,1,12,22 
136,2,12,22 
136,3,12,22 
136,4,12,22 
136,5,12,22 
136,6,12,22 
136,7,12,22 
136,8,12,22 
136,9,12,22 
136,10,12,22 
135,1,13,22 
135,2,13,22 
135,3,13,22 
135,4,13,22 
135,5,13,22 
135,6,13,22 
135,7,13,22 
135,8,13,22 
135,9,13,22 
135,10,13,22 
129,1,14,22 
129,2,14,22 
129,3,14,22 
129,4,14,22 
129,5,14,22 
129,6,14,22 
129,7,14,22 
129,8,14,22 
129,9,14,22 
129,10,14,22 
138,1,15,22 
138,2,15,22 
138,3,15,22 
138,4,15,22 
138,5,15,22 
138,6,15,22 
138,7,15,22 
138,8,15,22 
138,9,15,22 
138,10,15,22 
131,1,16,22 
131,2,16,22 
131,3,16,22 
131,4,16,22 
131,5,16,22 
131,6,16,22 
131,7,16,22 
131,8,16,22 
131,9,16,22 
131,10,16,22 
136,1,17,22 
136,2,17,22 
136,3,17,22 
136,4,17,22 
136,5,17,22 
136,6,17,22 
136,7,17,22 
136,8,17,22 
136,9,17,22 
136,10,17,22 
135,1,18,22 
135,2,18,22 
135,3,18,22 
135,4,18,22 
135,5,18,22 
135,6,18,22 
135,7,18,22 
135,8,18,22 
135,9,18,22 
135,10,18,22 
132,1,19,22 
132,2,19,22 
132,3,19,22 
132,4,19,22 
132,5,19,22 
132,6,19,22 
132,7,19,22 
132,8,19,22 
132,9,19,22 
132,10,19,22 
136,1,20,22 
136,2,20,22 
136,3,20,22 
136,4,20,22 
136,5,20,22 
136,6,20,22 
136,7,20,22 
136,8,20,22 
136,9,20,22 
136,10,20,22 
130,1,1,23 
130,2,1,23 
130,3,1,23 
130,4,1,23 
130,5,1,23 
130,6,1,23 
130,7,1,23 
130,8,1,23 
130,9,1,23 
130,10,1,23 
0,1,2,23 
0,2,2,23 
0,3,2,23 
0,4,2,23 
0,5,2,23 
0,6,2,23 
0,7,2,23 
0,8,2,23 
0,9,2,23 
0,10,2,23 
128,1,3,23 
128,2,3,23 
128,3,3,23 
128,4,3,23 
128,5,3,23 
128,6,3,23 
128,7,3,23 
128,8,3,23 
128,9,3,23 
128,10,3,23 
129,1,4,23 
129,2,4,23 
129,3,4,23 
129,4,4,23 
129,5,4,23 
129,6,4,23 
129,7,4,23 
129,8,4,23 
129,9,4,23 
129,10,4,23 
130,1,5,23 
130,2,5,23 
130,3,5,23 
130,4,5,23 
130,5,5,23 
130,6,5,23 
130,7,5,23 
130,8,5,23 
130,9,5,23 
130,10,5,23 
129,1,6,23 
129,2,6,23 
129,3,6,23 
129,4,6,23 
129,5,6,23 
129,6,6,23 
129,7,6,23 
129,8,6,23 
129,9,6,23 
129,10,6,23 
127,1,7,23 
127,2,7,23 
127,3,7,23 
127,4,7,23 
127,5,7,23 
127,6,7,23 
127,7,7,23 
127,8,7,23 
127,9,7,23 
127,10,7,23 
127,1,8,23 
127,2,8,23 
127,3,8,23 
127,4,8,23 
127,5,8,23 
127,6,8,23 
127,7,8,23 
127,8,8,23 
127,9,8,23 
127,10,8,23 
132,1,9,23 
132,2,9,23 
132,3,9,23 
132,4,9,23 
132,5,9,23 
132,6,9,23 
132,7,9,23 
132,8,9,23 
132,9,9,23 
132,10,9,23 
123,1,10,23 
123,2,10,23 
123,3,10,23 
123,4,10,23 
123,5,10,23 
123,6,10,23 
123,7,10,23 
123,8,10,23 
123,9,10,23 
123,10,10,23 
133,1,11,23 
133,2,11,23 
133,3,11,23 
133,4,11,23 
133,5,11,23 
133,6,11,23 
133,7,11,23 
133,8,11,23 
133,9,11,23 
133,10,11,23 
122,1,12,23 
122,2,12,23 
122,3,12,23 
122,4,12,23 
122,5,12,23 
122,6,12,23 
122,7,12,23 
122,8,12,23 
122,9,12,23 
122,10,12,23 
132,1,13,23 
132,2,13,23 
132,3,13,23 
132,4,13,23 
132,5,13,23 
132,6,13,23 
132,7,13,23 
132,8,13,23 
132,9,13,23 
132,10,13,23 
133,1,14,23 
133,2,14,23 
133,3,14,23 
133,4,14,23 
133,5,14,23 
133,6,14,23 
133,7,14,23 
133,8,14,23 
133,9,14,23 
133,10,14,23 
128,1,15,23 
128,2,15,23 
128,3,15,23 
128,4,15,23 
128,5,15,23 
128,6,15,23 
128,7,15,23 
128,8,15,23 
128,9,15,23 
128,10,15,23 
125,1,16,23 
125,2,16,23 
125,3,16,23 
125,4,16,23 
125,5,16,23 
125,6,16,23 
125,7,16,23 
125,8,16,23 
125,9,16,23 
125,10,16,23 
128,1,17,23 
128,2,17,23 
128,3,17,23 
128,4,17,23 
128,5,17,23 
128,6,17,23 
128,7,17,23 
128,8,17,23 
128,9,17,23 
128,10,17,23 
128,1,18,23 
128,2,18,23 
128,3,18,23 
128,4,18,23 
128,5,18,23 
128,6,18,23 
128,7,18,23 
128,8,18,23 
128,9,18,23 
128,10,18,23 
132,1,19,23 
132,2,19,23 
132,3,19,23 
132,4,19,23 
132,5,19,23 
132,6,19,23 
132,7,19,23 
132,8,19,23 
132,9,19,23 
132,10,19,23 
132,1,20,23 
132,2,20,23 
132,3,20,23 
132,4,20,23 
132,5,20,23 
132,6,20,23 
132,7,20,23 
132,8,20,23 
132,9,20,23 
132,10,20,23 
131,1,1,24 
131,2,1,24 
131,3,1,24 
131,4,1,24 
131,5,1,24 
131,6,1,24 
131,7,1,24 
131,8,1,24 
131,9,1,24 
131,10,1,24 
0,1,2,24 
0,2,2,24 
0,3,2,24 
0,4,2,24 
0,5,2,24 
0,6,2,24 
0,7,2,24 
0,8,2,24 
0,9,2,24 
0,10,2,24 
123,1,3,24 
123,2,3,24 
123,3,3,24 
123,4,3,24 
123,5,3,24 
123,6,3,24 
123,7,3,24 
123,8,3,24 
123,9,3,24 
123,10,3,24 
128,1,4,24 
128,2,4,24 
128,3,4,24 
128,4,4,24 
128,5,4,24 
128,6,4,24 
128,7,4,24 
128,8,4,24 
128,9,4,24 
128,10,4,24 
128,1,5,24 
128,2,5,24 
128,3,5,24 
128,4,5,24 
128,5,5,24 
128,6,5,24 
128,7,5,24 
128,8,5,24 
128,9,5,24 
128,10,5,24 
129,1,6,24 
129,2,6,24 
129,3,6,24 
129,4,6,24 
129,5,6,24 
129,6,6,24 
129,7,6,24 
129,8,6,24 
129,9,6,24 
129,10,6,24 
128,1,7,24 
128,2,7,24 
128,3,7,24 
128,4,7,24 
128,5,7,24 
128,6,7,24 
128,7,7,24 
128,8,7,24 
128,9,7,24 
128,10,7,24 
131,1,8,24 
131,2,8,24 
131,3,8,24 
131,4,8,24 
131,5,8,24 
131,6,8,24 
131,7,8,24 
131,8,8,24 
131,9,8,24 
131,10,8,24 
131,1,9,24 
131,2,9,24 
131,3,9,24 
131,4,9,24 
131,5,9,24 
131,6,9,24 
131,7,9,24 
131,8,9,24 
131,9,9,24 
131,10,9,24 
126,1,10,24 
126,2,10,24 
126,3,10,24 
126,4,10,24 
126,5,10,24 
126,6,10,24 
126,7,10,24 
126,8,10,24 
126,9,10,24 
126,10,10,24 
130,1,11,24 
130,2,11,24 
130,3,11,24 
130,4,11,24 
130,5,11,24 
130,6,11,24 
130,7,11,24 
130,8,11,24 
130,9,11,24 
130,10,11,24 
131,1,12,24 
131,2,12,24 
131,3,12,24 
131,4,12,24 
131,5,12,24 
131,6,12,24 
131,7,12,24 
131,8,12,24 
131,9,12,24 
131,10,12,24 
129,1,13,24 
129,2,13,24 
129,3,13,24 
129,4,13,24 
129,5,13,24 
129,6,13,24 
129,7,13,24 
129,8,13,24 
129,9,13,24 
129,10,13,24 
125,1,14,24 
125,2,14,24 
125,3,14,24 
125,4,14,24 
125,5,14,24 
125,6,14,24 
125,7,14,24 
125,8,14,24 
125,9,14,24 
125,10,14,24 
129,1,15,24 
129,2,15,24 
129,3,15,24 
129,4,15,24 
129,5,15,24 
129,6,15,24 
129,7,15,24 
129,8,15,24 
129,9,15,24 
129,10,15,24 
126,1,16,24 
126,2,16,24 
126,3,16,24 
126,4,16,24 
126,5,16,24 
126,6,16,24 
126,7,16,24 
126,8,16,24 
126,9,16,24 
126,10,16,24 
121,1,17,24 
121,2,17,24 
121,3,17,24 
121,4,17,24 
121,5,17,24 
121,6,17,24 
121,7,17,24 
121,8,17,24 
121,9,17,24 
121,10,17,24 
133,1,18,24 
133,2,18,24 
133,3,18,24 
133,4,18,24 
133,5,18,24 
133,6,18,24 
133,7,18,24 
133,8,18,24 
133,9,18,24 
133,10,18,24 
131,1,19,24 
131,2,19,24 
131,3,19,24 
131,4,19,24 
131,5,19,24 
131,6,19,24 
131,7,19,24 
131,8,19,24 
131,9,19,24 
131,10,19,24 
127,1,20,24 
127,2,20,24 
127,3,20,24 
127,4,20,24 
127,5,20,24 
127,6,20,24 
127,7,20,24 
127,8,20,24 
127,9,20,24 
127,10,20,24 
127,1,1,25 
127,2,1,25 
127,3,1,25 
127,4,1,25 
127,5,1,25 
127,6,1,25 
127,7,1,25 
127,8,1,25 
127,9,1,25 
127,10,1,25 
0,1,2,25 
0,2,2,25 
0,3,2,25 
0,4,2,25 
0,5,2,25 
0,6,2,25 
0,7,2,25 
0,8,2,25 
0,9,2,25 
0,10,2,25 
134,1,3,25 
134,2,3,25 
134,3,3,25 
134,4,3,25 
134,5,3,25 
134,6,3,25 
134,7,3,25 
134,8,3,25 
134,9,3,25 
134,10,3,25 
134,1,4,25 
134,2,4,25 
134,3,4,25 
134,4,4,25 
134,5,4,25 
134,6,4,25 
134,7,4,25 
134,8,4,25 
134,9,4,25 
134,10,4,25 
133,1,5,25 
133,2,5,25 
133,3,5,25 
133,4,5,25 
133,5,5,25 
133,6,5,25 
133,7,5,25 
133,8,5,25 
133,9,5,25 
133,10,5,25 
132,1,6,25 
132,2,6,25 
132,3,6,25 
132,4,6,25 
132,5,6,25 
132,6,6,25 
132,7,6,25 
132,8,6,25 
132,9,6,25 
132,10,6,25 
127,1,7,25 
127,2,7,25 
127,3,7,25 
127,4,7,25 
127,5,7,25 
127,6,7,25 
127,7,7,25 
127,8,7,25 
127,9,7,25 
127,10,7,25 
126,1,8,25 
126,2,8,25 
126,3,8,25 
126,4,8,25 
126,5,8,25 
126,6,8,25 
126,7,8,25 
126,8,8,25 
126,9,8,25 
126,10,8,25 
133,1,9,25 
133,2,9,25 
133,3,9,25 
133,4,9,25 
133,5,9,25 
133,6,9,25 
133,7,9,25 
133,8,9,25 
133,9,9,25 
133,10,9,25 
127,1,10,25 
127,2,10,25 
127,3,10,25 
127,4,10,25 
127,5,10,25 
127,6,10,25 
127,7,10,25 
127,8,10,25 
127,9,10,25 
127,10,10,25 
129,1,11,25 
129,2,11,25 
129,3,11,25 
129,4,11,25 
129,5,11,25 
129,6,11,25 
129,7,11,25 
129,8,11,25 
129,9,11,25 
129,10,11,25 
129,1,12,25 
129,2,12,25 
129,3,12,25 
129,4,12,25 
129,5,12,25 
129,6,12,25 
129,7,12,25 
129,8,12,25 
129,9,12,25 
129,10,12,25 
128,1,13,25 
128,2,13,25 
128,3,13,25 
128,4,13,25 
128,5,13,25 
128,6,13,25 
128,7,13,25 
128,8,13,25 
128,9,13,25 
128,10,13,25 
132,1,14,25 
132,2,14,25 
132,3,14,25 
132,4,14,25 
132,5,14,25 
132,6,14,25 
132,7,14,25 
132,8,14,25 
132,9,14,25 
132,10,14,25 
130,1,15,25 
130,2,15,25 
130,3,15,25 
130,4,15,25 
130,5,15,25 
130,6,15,25 
130,7,15,25 
130,8,15,25 
130,9,15,25 
130,10,15,25 
131,1,16,25 
131,2,16,25 
131,3,16,25 
131,4,16,25 
131,5,16,25 
131,6,16,25 
131,7,16,25 
131,8,16,25 
131,9,16,25 
131,10,16,25 
129,1,17,25 
129,2,17,25 
129,3,17,25 
129,4,17,25 
129,5,17,25 
129,6,17,25 
129,7,17,25 
129,8,17,25 
129,9,17,25 
129,10,17,25 
132,1,18,25 
132,2,18,25 
132,3,18,25 
132,4,18,25 
132,5,18,25 
132,6,18,25 
132,7,18,25 
132,8,18,25 
132,9,18,25 
132,10,18,25 
130,1,19,25 
130,2,19,25 
130,3,19,25 
130,4,19,25 
130,5,19,25 
130,6,19,25 
130,7,19,25 
130,8,19,25 
130,9,19,25 
130,10,19,25 
132,1,20,25 
132,2,20,25 
132,3,20,25 
132,4,20,25 
132,5,20,25 
132,6,20,25 
132,7,20,25 
132,8,20,25 
132,9,20,25 
132,10,20,25 
132,1,1,26 
132,2,1,26 
132,3,1,26 
132,4,1,26 
132,5,1,26 
132,6,1,26 
132,7,1,26 
132,8,1,26 
132,9,1,26 
132,10,1,26 
0,1,2,26 
0,2,2,26 
0,3,2,26 
0,4,2,26 
0,5,2,26 
0,6,2,26 
0,7,2,26 
0,8,2,26 
0,9,2,26 
0,10,2,26 
132,1,3,26 
132,2,3,26 
132,3,3,26 
132,4,3,26 
132,5,3,26 
132,6,3,26 
132,7,3,26 
132,8,3,26 
132,9,3,26 
132,10,3,26 
132,1,4,26 
132,2,4,26 
132,3,4,26 
132,4,4,26 
132,5,4,26 
132,6,4,26 
132,7,4,26 
132,8,4,26 
132,9,4,26 
132,10,4,26 
135,1,5,26 
135,2,5,26 
135,3,5,26 
135,4,5,26 
135,5,5,26 
135,6,5,26 
135,7,5,26 
135,8,5,26 
135,9,5,26 
135,10,5,26 
132,1,6,26 
132,2,6,26 
132,3,6,26 
132,4,6,26 
132,5,6,26 
132,6,6,26 
132,7,6,26 
132,8,6,26 
132,9,6,26 
132,10,6,26 
134,1,7,26 
134,2,7,26 
134,3,7,26 
134,4,7,26 
134,5,7,26 
134,6,7,26 
134,7,7,26 
134,8,7,26 
134,9,7,26 
134,10,7,26 
131,1,8,26 
131,2,8,26 
131,3,8,26 
131,4,8,26 
131,5,8,26 
131,6,8,26 
131,7,8,26 
131,8,8,26 
131,9,8,26 
131,10,8,26 
132,1,9,26 
132,2,9,26 
132,3,9,26 
132,4,9,26 
132,5,9,26 
132,6,9,26 
132,7,9,26 
132,8,9,26 
132,9,9,26 
132,10,9,26 
134,1,10,26 
134,2,10,26 
134,3,10,26 
134,4,10,26 
134,5,10,26 
134,6,10,26 
134,7,10,26 
134,8,10,26 
134,9,10,26 
134,10,10,26 
132,1,11,26 
132,2,11,26 
132,3,11,26 
132,4,11,26 
132,5,11,26 
132,6,11,26 
132,7,11,26 
132,8,11,26 
132,9,11,26 
132,10,11,26 
133,1,12,26 
133,2,12,26 
133,3,12,26 
133,4,12,26 
133,5,12,26 
133,6,12,26 
133,7,12,26 
133,8,12,26 
133,9,12,26 
133,10,12,26 
129,1,13,26 
129,2,13,26 
129,3,13,26 
129,4,13,26 
129,5,13,26 
129,6,13,26 
129,7,13,26 
129,8,13,26 
129,9,13,26 
129,10,13,26 
132,1,14,26 
132,2,14,26 
132,3,14,26 
132,4,14,26 
132,5,14,26 
132,6,14,26 
132,7,14,26 
132,8,14,26 
132,9,14,26 
132,10,14,26 
135,1,15,26 
135,2,15,26 
135,3,15,26 
135,4,15,26 
135,5,15,26 
135,6,15,26 
135,7,15,26 
135,8,15,26 
135,9,15,26 
135,10,15,26 
129,1,16,26 
129,2,16,26 
129,3,16,26 
129,4,16,26 
129,5,16,26 
129,6,16,26 
129,7,16,26 
129,8,16,26 
129,9,16,26 
129,10,16,26 
129,1,17,26 
129,2,17,26 
129,3,17,26 
129,4,17,26 
129,5,17,26 
129,6,17,26 
129,7,17,26 
129,8,17,26 
129,9,17,26 
129,10,17,26 
134,1,18,26 
134,2,18,26 
134,3,18,26 
134,4,18,26 
134,5,18,26 
134,6,18,26 
134,7,18,26 
134,8,18,26 
134,9,18,26 
134,10,18,26 
134,1,19,26 
134,2,19,26 
134,3,19,26 
134,4,19,26 
134,5,19,26 
134,6,19,26 
134,7,19,26 
134,8,19,26 
134,9,19,26 
134,10,19,26 
136,1,20,26 
136,2,20,26 
136,3,20,26 
136,4,20,26 
136,5,20,26 
136,6,20,26 
136,7,20,26 
136,8,20,26 
136,9,20,26 
136,10,20,26 
260,1,1,27 
260,2,1,27 
260,3,1,27 
260,4,1,27 
260,5,1,27 
260,6,1,27 
260,7,1,27 
260,8,1,27 
260,9,1,27 
260,10,1,27 
0,1,2,27 
0,2,2,27 
0,3,2,27 
0,4,2,27 
0,5,2,27 
0,6,2,27 
0,7,2,27 
0,8,2,27 
0,9,2,27 
0,10,2,27 
0,1,3,27 
0,2,3,27 
0,3,3,27 
0,4,3,27 
0,5,3,27 
0,6,3,27 
0,7,3,27 
0,8,3,27 
0,9,3,27 
0,10,3,27 
130,1,4,27 
130,2,4,27 
130,3,4,27 
130,4,4,27 
130,5,4,27 
130,6,4,27 
130,7,4,27 
130,8,4,27 
130,9,4,27 
130,10,4,27 
131,1,5,27 
131,2,5,27 
131,3,5,27 
131,4,5,27 
131,5,5,27 
131,6,5,27 
131,7,5,27 
131,8,5,27 
131,9,5,27 
131,10,5,27 
133,1,6,27 
133,2,6,27 
133,3,6,27 
133,4,6,27 
133,5,6,27 
133,6,6,27 
133,7,6,27 
133,8,6,27 
133,9,6,27 
133,10,6,27 
134,1,7,27 
134,2,7,27 
134,3,7,27 
134,4,7,27 
134,5,7,27 
134,6,7,27 
134,7,7,27 
134,8,7,27 
134,9,7,27 
134,10,7,27 
132,1,8,27 
132,2,8,27 
132,3,8,27 
132,4,8,27 
132,5,8,27 
132,6,8,27 
132,7,8,27 
132,8,8,27 
132,9,8,27 
132,10,8,27 
133,1,9,27 
133,2,9,27 
133,3,9,27 
133,4,9,27 
133,5,9,27 
133,6,9,27 
133,7,9,27 
133,8,9,27 
133,9,9,27 
133,10,9,27 
127,1,10,27 
127,2,10,27 
127,3,10,27 
127,4,10,27 
127,5,10,27 
127,6,10,27 
127,7,10,27 
127,8,10,27 
127,9,10,27 
127,10,10,27 
135,1,11,27 
135,2,11,27 
135,3,11,27 
135,4,11,27 
135,5,11,27 
135,6,11,27 
135,7,11,27 
135,8,11,27 
135,9,11,27 
135,10,11,27 
132,1,12,27 
132,2,12,27 
132,3,12,27 
132,4,12,27 
132,5,12,27 
132,6,12,27 
132,7,12,27 
132,8,12,27 
132,9,12,27 
132,10,12,27 
137,1,13,27 
137,2,13,27 
137,3,13,27 
137,4,13,27 
137,5,13,27 
137,6,13,27 
137,7,13,27 
137,8,13,27 
137,9,13,27 
137,10,13,27 
131,1,14,27 
131,2,14,27 
131,3,14,27 
131,4,14,27 
131,5,14,27 
131,6,14,27 
131,7,14,27 
131,8,14,27 
131,9,14,27 
131,10,14,27 
131,1,15,27 
131,2,15,27 
131,3,15,27 
131,4,15,27 
131,5,15,27 
131,6,15,27 
131,7,15,27 
131,8,15,27 
131,9,15,27 
131,10,15,27 
134,1,16,27 
134,2,16,27 
134,3,16,27 
134,4,16,27 
134,5,16,27 
134,6,16,27 
134,7,16,27 
134,8,16,27 
134,9,16,27 
134,10,16,27 
131,1,17,27 
131,2,17,27 
131,3,17,27 
131,4,17,27 
131,5,17,27 
131,6,17,27 
131,7,17,27 
131,8,17,27 
131,9,17,27 
131,10,17,27 
134,1,18,27 
134,2,18,27 
134,3,18,27 
134,4,18,27 
134,5,18,27 
134,6,18,27 
134,7,18,27 
134,8,18,27 
134,9,18,27 
134,10,18,27 
132,1,19,27 
132,2,19,27 
132,3,19,27 
132,4,19,27 
132,5,19,27 
132,6,19,27 
132,7,19,27 
132,8,19,27 
132,9,19,27 
132,10,19,27 
133,1,20,27 
133,2,20,27 
133,3,20,27 
133,4,20,27 
133,5,20,27 
133,6,20,27 
133,7,20,27 
133,8,20,27 
133,9,20,27 
133,10,20,27 
271,1,1,28 
271,2,1,28 
271,3,1,28 
271,4,1,28 
271,5,1,28 
271,6,1,28 
271,7,1,28 
271,8,1,28 
271,9,1,28 
271,10,1,28 
0,1,2,28 
0,2,2,28 
0,3,2,28 
0,4,2,28 
0,5,2,28 
0,6,2,28 
0,7,2,28 
0,8,2,28 
0,9,2,28 
0,10,2,28 
0,1,3,28 
0,2,3,28 
0,3,3,28 
0,4,3,28 
0,5,3,28 
0,6,3,28 
0,7,3,28 
0,8,3,28 
0,9,3,28 
0,10,3,28 
137,1,4,28 
137,2,4,28 
137,3,4,28 
137,4,4,28 
137,5,4,28 
137,6,4,28 
137,7,4,28 
137,8,4,28 
137,9,4,28 
137,10,4,28 
133,1,5,28 
133,2,5,28 
133,3,5,28 
133,4,5,28 
133,5,5,28 
133,6,5,28 
133,7,5,28 
133,8,5,28 
133,9,5,28 
133,10,5,28 
131,1,6,28 
131,2,6,28 
131,3,6,28 
131,4,6,28 
131,5,6,28 
131,6,6,28 
131,7,6,28 
131,8,6,28 
131,9,6,28 
131,10,6,28 
130,1,7,28 
130,2,7,28 
130,3,7,28 
