Variable xr: a, t, e 
128,5,16,2 
128,6,16,2 
128,7,16,2 
128,8,16,2 
128,9,16,2 
128,10,16,2 
125,1,17,2 
125,2,17,2 
125,3,17,2 
125,4,17,2 
125,5,17,2 
125,6,17,2 
125,7,17,2 
125,8,17,2 
125,9,17,2 
125,10,17,2 
135,1,18,2 
135,2,18,2 
135,3,18,2 
135,4,18,2 
135,5,18,2 
135,6,18,2 
135,7,18,2 
135,8,18,2 
135,9,18,2 
135,10,18,2 
128,1,19,2 
128,2,19,2 
128,3,19,2 
128,4,19,2 
128,5,19,2 
128,6,19,2 
128,7,19,2 
128,8,19,2 
128,9,19,2 
128,10,19,2 
130,1,20,2 
130,2,20,2 
130,3,20,2 
130,4,20,2 
130,5,20,2 
130,6,20,2 
130,7,20,2 
130,8,20,2 
130,9,20,2 
130,10,20,2 
263,1,1,3 
263,2,1,3 
263,3,1,3 
263,4,1,3 
263,5,1,3 
263,6,1,3 
263,7,1,3 
263,8,1,3 
263,9,1,3 
263,10,1,3 
0,1,2,3 
0,2,2,3 
0,3,2,3 
0,4,2,3 
0,5,2,3 
0,6,2,3 
0,7,2,3 
0,8,2,3 
0,9,2,3 
0,10,2,3 
0,1,3,3 
0,2,3,3 
0,3,3,3 
0,4,3,3 
0,5,3,3 
0,6,3,3 
0,7,3,3 
0,8,3,3 
0,9,3,3 
0,10,3,3 
138,1,4,3 
138,2,4,3 
138,3,4,3 
138,4,4,3 
138,5,4,3 
138,6,4,3 
138,7,4,3 
138,8,4,3 
138,9,4,3 
138,10,4,3 
135,1,5,3 
135,2,5,3 
135,3,5,3 
135,4,5,3 
135,5,5,3 
135,6,5,3 
135,7,5,3 
135,8,5,3 
135,9,5,3 
135,10,5,3 
132,1,6,3 
132,2,6,3 
132,3,6,3 
132,4,6,3 
132,5,6,3 
132,6,6,3 
132,7,6,3 
132,8,6,3 
132,9,6,3 
132,10,6,3 
131,1,7,3 
131,2,7,3 
131,3,7,3 
131,4,7,3 
131,5,7,3 
131,6,7,3 
131,7,7,3 
131,8,7,3 
131,9,7,3 
131,10,7,3 
134,1,8,3 
134,2,8,3 
134,3,8,3 
134,4,8,3 
134,5,8,3 
134,6,8,3 
134,7,8,3 
134,8,8,3 
134,9,8,3 
134,10,8,3 
134,1,9,3 
134,2,9,3 
134,3,9,3 
134,4,9,3 
134,5,9,3 
134,6,9,3 
134,7,9,3 
134,8,9,3 
134,9,9,3 
134,10,9,3 
130,1,10,3 
130,2,10,3 
130,3,10,3 
130,4,10,3 
130,5,10,3 
130,6,10,3 
130,7,10,3 
130,8,10,3 
130,9,10,3 
130,10,10,3 
127,1,11,3 
127,2,11,3 
127,3,11,3 
127,4,11,3 
127,5,11,3 
127,6,11,3 
127,7,11,3 
127,8,11,3 
127,9,11,3 
127,10,11,3 
129,1,12,3 
129,2,12,3 
129,3,12,3 
129,4,12,3 
129,5,12,3 
129,6,12,3 
129,7,12,3 
129,8,12,3 
129,9,12,3 
129,10,12,3 
133,1,13,3 
133,2,13,3 
133,3,13,3 
133,4,13,3 
133,5,13,3 
133,6,13,3 
133,7,13,3 
133,8,13,3 
133,9,13,3 
133,10,13,3 
132,1,14,3 
132,2,14,3 
132,3,14,3 
132,4,14,3 
132,5,14,3 
132,6,14,3 
132,7,14,3 
132,8,14,3 
132,9,14,3 
132,10,14,3 
134,1,15,3 
134,2,15,3 
134,3,15,3 
134,4,15,3 
134,5,15,3 
134,6,15,3 
134,7,15,3 
134,8,15,3 
134,9,15,3 
134,10,15,3 
134,1,16,3 
134,2,16,3 
134,3,16,3 
134,4,16,3 
134,5,16,3 
134,6,16,3 
134,7,16,3 
134,8,16,3 
134,9,16,3 
134,10,16,3 
135,1,17,3 
135,2,17,3 
135,3,17,3 
135,4,17,3 
135,5,17,3 
135,6,17,3 
135,7,17,3 
135,8,17,3 
135,9,17,3 
135,10,17,3 
134,1,18,3 
134,2,18,3 
134,3,18,3 
134,4,18,3 
134,5,18,3 
134,6,18,3 
134,7,18,3 
134,8,18,3 
134,9,18,3 
134,10,18,3 
137,1,19,3 
137,2,19,3 
137,3,19,3 
137,4,19,3 
137,5,19,3 
137,6,19,3 
137,7,19,3 
137,8,19,3 
137,9,19,3 
137,10,19,3 
133,1,20,3 
133,2,20,3 
133,3,20,3 
133,4,20,3 
133,5,20,3 
133,6,20,3 
133,7,20,3 
133,8,20,3 
133,9,20,3 
133,10,20,3 
130,1,1,4 
130,2,1,4 
130,3,1,4 
130,4,1,4 
130,5,1,4 
130,6,1,4 
130,7,1,4 
130,8,1,4 
130,9,1,4 
130,10,1,4 
0,1,2,4 
0,2,2,4 
0,3,2,4 
0,4,2,4 
0,5,2,4 
0,6,2,4 
0,7,2,4 
0,8,2,4 
0,9,2,4 
0,10,2,4 
129,1,3,4 
129,2,3,4 
129,3,3,4 
129,4,3,4 
129,5,3,4 
129,6,3,4 
129,7,3,4 
129,8,3,4 
129,9,3,4 
129,10,3,4 
132,1,4,4 
132,2,4,4 
132,3,4,4 
132,4,4,4 
132,5,4,4 
132,6,4,4 
132,7,4,4 
132,8,4,4 
132,9,4,4 
132,10,4,4 
125,1,5,4 
125,2,5,4 
125,3,5,4 
125,4,5,4 
125,5,5,4 
125,6,5,4 
125,7,5,4 
125,8,5,4 
125,9,5,4 
125,10,5,4 
125,1,6,4 
125,2,6,4 
125,3,6,4 
125,4,6,4 
125,5,6,4 
125,6,6,4 
125,7,6,4 
125,8,6,4 
125,9,6,4 
125,10,6,4 
129,1,7,4 
129,2,7,4 
129,3,7,4 
129,4,7,4 
129,5,7,4 
129,6,7,4 
129,7,7,4 
129,8,7,4 
129,9,7,4 
129,10,7,4 
130,1,8,4 
130,2,8,4 
130,3,8,4 
130,4,8,4 
130,5,8,4 
130,6,8,4 
130,7,8,4 
130,8,8,4 
130,9,8,4 
130,10,8,4 
130,1,9,4 
130,2,9,4 
130,3,9,4 
130,4,9,4 
130,5,9,4 
130,6,9,4 
130,7,9,4 
130,8,9,4 
130,9,9,4 
130,10,9,4 
131,1,10,4 
131,2,10,4 
131,3,10,4 
131,4,10,4 
131,5,10,4 
131,6,10,4 
131,7,10,4 
131,8,10,4 
131,9,10,4 
131,10,10,4 
131,1,11,4 
131,2,11,4 
131,3,11,4 
131,4,11,4 
131,5,11,4 
131,6,11,4 
131,7,11,4 
131,8,11,4 
131,9,11,4 
131,10,11,4 
131,1,12,4 
131,2,12,4 
131,3,12,4 
131,4,12,4 
131,5,12,4 
131,6,12,4 
131,7,12,4 
131,8,12,4 
131,9,12,4 
131,10,12,4 
132,1,13,4 
132,2,13,4 
132,3,13,4 
132,4,13,4 
132,5,13,4 
132,6,13,4 
132,7,13,4 
132,8,13,4 
132,9,13,4 
132,10,13,4 
125,1,14,4 
125,2,14,4 
125,3,14,4 
125,4,14,4 
125,5,14,4 
125,6,14,4 
125,7,14,4 
125,8,14,4 
125,9,14,4 
125,10,14,4 
125,1,15,4 
125,2,15,4 
125,3,15,4 
125,4,15,4 
125,5,15,4 
125,6,15,4 
125,7,15,4 
125,8,15,4 
125,9,15,4 
125,10,15,4 
129,1,16,4 
129,2,16,4 
129,3,16,4 
129,4,16,4 
129,5,16,4 
129,6,16,4 
129,7,16,4 
129,8,16,4 
129,9,16,4 
129,10,16,4 
128,1,17,4 
128,2,17,4 
128,3,17,4 
128,4,17,4 
128,5,17,4 
128,6,17,4 
128,7,17,4 
128,8,17,4 
128,9,17,4 
128,10,17,4 
130,1,18,4 
130,2,18,4 
130,3,18,4 
130,4,18,4 
130,5,18,4 
130,6,18,4 
130,7,18,4 
130,8,18,4 
130,9,18,4 
130,10,18,4 
133,1,19,4 
133,2,19,4 
133,3,19,4 
133,4,19,4 
133,5,19,4 
133,6,19,4 
133,7,19,4 
133,8,19,4 
133,9,19,4 
133,10,19,4 
130,1,20,4 
130,2,20,4 
130,3,20,4 
130,4,20,4 
130,5,20,4 
130,6,20,4 
130,7,20,4 
130,8,20,4 
130,9,20,4 
130,10,20,4 
132,1,1,5 
132,2,1,5 
132,3,1,5 
132,4,1,5 
132,5,1,5 
132,6,1,5 
132,7,1,5 
132,8,1,5 
132,9,1,5 
132,10,1,5 
0,1,2,5 
0,2,2,5 
0,3,2,5 
0,4,2,5 
0,5,2,5 
0,6,2,5 
0,7,2,5 
0,8,2,5 
0,9,2,5 
0,10,2,5 
132,1,3,5 
132,2,3,5 
132,3,3,5 
132,4,3,5 
132,5,3,5 
132,6,3,5 
132,7,3,5 
132,8,3,5 
132,9,3,5 
132,10,3,5 
126,1,4,5 
126,2,4,5 
126,3,4,5 
126,4,4,5 
126,5,4,5 
126,6,4,5 
126,7,4,5 
126,8,4,5 
126,9,4,5 
126,10,4,5 
133,1,5,5 
133,2,5,5 
133,3,5,5 
133,4,5,5 
133,5,5,5 
133,6,5,5 
133,7,5,5 
133,8,5,5 
133,9,5,5 
133,10,5,5 
133,1,6,5 
133,2,6,5 
133,3,6,5 
133,4,6,5 
133,5,6,5 
133,6,6,5 
133,7,6,5 
133,8,6,5 
133,9,6,5 
133,10,6,5 
130,1,7,5 
130,2,7,5 
130,3,7,5 
130,4,7,5 
130,5,7,5 
130,6,7,5 
130,7,7,5 
130,8,7,5 
130,9,7,5 
130,10,7,5 
130,1,8,5 
130,2,8,5 
130,3,8,5 
130,4,8,5 
130,5,8,5 
130,6,8,5 
130,7,8,5 
130,8,8,5 
130,9,8,5 
130,10,8,5 
133,1,9,5 
